source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Deadline'}",Matthew Carey,"Hulu Orders ‘Fanatical: The Catfishing Of Tegan and Sara,’ About Scheme That Reeled In Followers Of Queer Indie Rock Band – Part “Thriller, Caper, Whodunnit”","Hulu has ordered a documentary on a catfishing scheme that entrapped fans of a popular Canadian rock duo. Fanatical: The Catfishing Of Tegan and Sara, directed by true crime specialist Erin Lee Carr, will debut on the streaming platform October 18. The film r…",http://deadline.com/2024/07/tegan-and-sara-catfishing-scheme-documentary-hulu-1236027060/,https://deadline.com/wp-content/uploads/2024/07/Fanatical_DA_Image-02.jpg?w=1024,2024-07-30T22:04:37Z,"Hulu has ordered a documentary on a catfishing scheme that entrapped fans of a popular Canadian rock duo.
Fanatical: The Catfishing Of Tegan and Sara, directed by true crime specialist Erin Lee Carr… [+2853 chars]"
"{'id': None, 'name': 'Deadline'}",Katie Campione,‘My Life With The Walter Boys’ Begins Season 2 Production; Becky Hartman Edwards Boards Netflix YA Series As EP,"The cast of Netflix’s My Life With the Walter Boys is back on set as production has officially begun on Season 2 in Calgary, Canada. Showrunner Melanie Halsall is back to steer the ship for the second installment, and Ed Glauser will executive produce the ser…",http://deadline.com/2024/08/my-life-with-the-walter-boys-season-2-start-of-production-producer-cast-changes-1236040216/,https://deadline.com/wp-content/uploads/2023/12/My-Life-With-the-Walter-Boys-2-120723-cfa93e924f9540a3a4422cff3f10fb81.jpeg?w=1000,2024-08-14T16:45:00Z,"The cast of Netflix‘s My Life With the Walter Boysis back on set as production has officially begun on Season 2 in Calgary, Canada.
Showrunner Melanie Halsall is back to steer the ship for the secon… [+2383 chars]"
"{'id': None, 'name': 'Infovis-wiki.net'}",,Visual Variables are a specified set of symbols that can be applied to data,Comments,https://infovis-wiki.net/wiki/Visual_Variables,,2024-08-04T23:10:47Z,"Purpose and Development
Our usual way of communicating is with words. Written words consist of single symbols (letters), gaining meaning when arranged in certain combinations. The question is: If th… [+4661 chars]"
"{'id': None, 'name': 'Quartz India'}",Melvin Backman,Canada exported so much gold and oil in June that it got a surprise trade surplus,"Canada just got a commodity-driven economic surprise. The country’s data hub, Statistics Canada, released numbers Tuesday that said the country exported C$638 million ($432 million) more in goods and services than it imported in June, far more than the C$2 bi…",https://qz.com/canada-exports-oil-gold-surprise-trade-surplus-1851614284,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/d0322d25b8792be2080756ab1408fb33.jpg",2024-08-06T15:56:33Z,"Canada just got a commodity-driven economic surprise. The countrys data hub, Statistics Canada, released numbers Tuesday that said the country exported C$638 million ($432 million) more in goods and … [+1583 chars]"
"{'id': None, 'name': 'Space.com'}",daisy.dobrijevic@space.com (Daisy Dobrijevic),Northern lights delight as 'cannibal' solar storm triggers auroras across US and Canada (photos),A cannibal coronal mass ejection triggered impressive northern lights displays across the US and Canada. We've rounded up some of the best photos here.,https://www.space.com/northern-lights-cannibal-solar-storm-us-canada-photos,https://cdn.mos.cms.futurecdn.net/UFkVVc64xyo8FojDwBCVpg-1200-80.jpg,2024-07-31T13:31:40Z,"Over two days the sun launched a barrage of coronal mass ejections (CMEs) — expulsions of plasma and magnetic field — toward Earth. 
The first two CMEs combined and formed a ""cannibal CME"" which hit… [+6471 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Darius Rafieyan,Prosecutors used an AI tool to send a man to prison for life. Now the person who created it is under investigation.,Adam Mosher claimed his AI tool Cybercheck helped cops and prosecutors with thousands of cases. Now he's under investigation for false testimony.,https://www.businessinsider.com/ai-crime-tool-cybercheck-founder-adam-mosher-investigation-2024-8,https://i.insider.com/66acfcaba5247369a3e918d7?width=1200&format=jpeg,2024-08-06T16:53:29Z,"Getty Images; Jenny Chang-Rodriguez/BI
In America, when you're charged with a crime, you're afforded the right to face your accuser. But what happens when your accuser isn't human?In 2022, over five… [+15811 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Zacks Equity Research,"ExxonMobil Warns of Oil Supply Risks, Prices Could Surge 5X","XOM's analysis suggests that without sustained investment, global oil supply could shrink to 30 million bpd as early as 2030, potentially driving oil prices ...",https://finance.yahoo.com/news/exxonmobil-warns-oil-supply-risks-165700445.html,https://media.zenfs.com/en/zacks.com/b81ac34444d94825c1ca7ea33d2f8831,2024-08-27T16:57:00Z,"Exxon Mobil Corporation XOM forecasts that global crude oil demand will remain robust, exceeding 100 million barrels per day (bpd) through 2050, per a Reuters report.
This outlook, significantly hig… [+4103 chars]"
"{'id': None, 'name': 'Biztoc.com'}",theglobeandmail.com,Cenovus Energy posts higher quarterly profit estimates,"Cenovus Energy CVE-T posted a rise in second-quarter profit on Thursday, as the Canadian oil and gas company benefited from higher throughput volumes and an increase in production.
The Calgary-based company’s net income rose to $1 billion, or 53 cents per sha…",https://biztoc.com/x/aa6f268fb68b7815,https://biztoc.com/cdn/aa6f268fb68b7815_s.webp,2024-08-01T11:00:06Z,"Cenovus Energy CVE-T posted a rise in second-quarter profit on Thursday, as the Canadian oil and gas company benefited from higher throughput volumes and an increase in production.The Calgary-based c… [+135 chars]"
"{'id': None, 'name': 'Stereogum'}",Katherine St. Asaph,Sabrina Carpenter’s Smart N’ Funny Short N’ Sweet Skewers Male Misbehavior With The Best Of ’Em,"Sabrina Carpenter is funny – funny on purpose. A lot of people have suddenly realized this at the same time. This isn’t news, though, to people who saw her steal scenes as a snarky tween in Disney’s sitcom Girl Meets World. (The character-actor-to-pop-girlie …",https://www.stereogum.com/2277730/sabrina-carpenter-short-n-sweet-review/columns/chained-to-the-rhythm/,https://static.stereogum.com/uploads/2024/08/LEADPRESS-1724697920.jpeg,2024-08-26T20:05:09Z,"Sabrina Carpenter is funny funny on purpose. A lot of people have suddenly realized this at the same time. This isn’t news, though, to people who saw her steal scenes as a snarky tween in Disney’s si… [+7361 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,The cheers and jeers of Danielle Smith's private party summer,"The premier, facing a leadership review this fall, is touring Alberta to hear what the UCP grassroots wants. Among the wishes: a pension plan and a crackdown on vaccines.",https://www.cbc.ca/news/canada/calgary/danielle-smith-ucp-leadership-review-private-analysis-1.7289350,https://i.cbc.ca/1.6609378.1723155536!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/danielle-smith-wins-ucp-leadership.jpg,2024-08-09T08:00:38Z,"A couple of Tuesdays ago, Premier Danielle Smith's evening began with her facing heat for not rushing to ban COVID vaccines for children.
Then it moved on to Smith having to answer about why she was… [+8156 chars]"
"{'id': None, 'name': 'MobileSyrup'}",Bradly Shankar,PlayStation Canada partners with Best Buy on in-store Astro Bot demos,"PlayStation has teamed up with Best Buy in Canada to offer a playable demo of Astro Bot in some the electronic retailer’s stores. Starting August 26th, Canadians can visit one of the following Best Buy stores to go hands-on with the highly anticipated PS5 pla…",https://mobilesyrup.com/2024/08/26/playstation-canada-best-buy-in-store-astro-bot-demos/,https://cdn.mobilesyrup.com/wp-content/uploads/2024/08/astro-bot-header-scaled.jpg,2024-08-26T21:01:59Z,"PlayStation has teamed up with Best Buy in Canada to offer a playable demo of Astro Bot in some the electronic retailer’s stores.
Starting August 26th, Canadians can visit one of the following Best … [+2518 chars]"
"{'id': None, 'name': 'Clinical Trials Arena'}",GlobalData,Arch Biopartners’ cilastatin enters Phase II trial for AKI prevention,The Universities of Calgary and Alberta-based clinical team received $1.5m funding from CIHR for the trial.,https://www.clinicaltrialsarena.com/news/arch-cilastatin-trial-aki/,https://s.yimg.com/ny/api/res/1.2/wwKNRiEFABzIgDFVeClIEQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NDQ-/https://media.zenfs.com/en/clinical_trials_arena_396/5cfb5a3220ecced41357aa0dfbcc6678,2024-08-05T08:52:23Z,"Arch Biopartners has announced that its drug candidate cilastatin will be analysed in the upcoming Phase II PONTIAC clinical trial, which aims to prevent acute kidney injury (AKI) caused by nephrotox… [+2741 chars]"
"{'id': 'time', 'name': 'Time'}",Matt Fuchs,How Being Spontaneous Can Make You Feel Younger,People become less spontaneous with age. But researchers have recently identified ways to increase spontaneity for well-being and longevity.,https://time.com/7005581/how-to-be-more-spontaneous/,https://api.time.com/wp-content/uploads/2024/07/TIME.COMSpontaneous.gif?w=1200&h=628&crop=1,2024-08-01T18:17:29Z,"My nine-year-old skips, jumps, flails his arms, jumps some more, kicks, skip-jumps, stops by to punch me in the leg, and continues. He drifts through the house to the energetic pop rock of his favori… [+11460 chars]"
"{'id': None, 'name': 'Screen Rant'}",Sarah Novack,Unsolved Mysteries' Amanda Antoni Case: True Story & Updates,"Amanda Antoni was found dead in her basement, in October 2015. However, detectives were unable to conclude if her death was an accident or a murder.",https://screenrant.com/unsolved-mysteries-amanda-antoni-case-true-story-updates/,https://static1.srcdn.com/wordpress/wp-content/uploads/2024/07/amanda.jpg,2024-08-01T10:30:11Z,"Summary
<ul><li> ""Unsolved Mysteries"" covers a mix of high-profile and lesser-known cases, including the tragic death of Amanda Antoni. </li><li> New evidence introduced in Amanda Antoni's case led … [+8044 chars]"
"{'id': None, 'name': 'Longreads.com'}",Krista Stevens,"Here a Bee, There a Bee, Everywhere a Wild Bee","""Biologists are finding new bee species all over the Pacific Northwest—highlighting how little we know about native pollinators.""",http://longreads.com/2024/08/28/here-a-bee-there-a-bee-everywhere-a-wild-bee/,,2024-08-28T15:02:07Z,Anne Casselman takes us to the wilderness of British Columbia to follow melittologists (bee biologists) as they discover and catalogue new species of bees. The process can involve harvesting specimen… [+1210 chars]
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,"CN workers to strike Monday, vow to fight Canada move to end rail shutdown","Announcement is latest twist in labour dispute at Canada's top two railroads, which locked out more than 9,000 workers.",https://www.aljazeera.com/economy/2024/8/23/cn-workers-to-strike-monday-vow-to-fight-canada-move-to-end-rail-shutdown,https://www.aljazeera.com/wp-content/uploads/2024/08/canada-1724306932.jpg?resize=1920%2C1440,2024-08-23T18:25:14Z,"The union representing workers at the Canadian National Railway (CN) says they will strike next week, in a new threat to the economy after promising to challenge a government decision to end an unpre… [+3520 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,Booming solar industry has a growing appetite for weed-chomping crews,The growing number of large-scale solar fields has created an increased need for animals to help control the weeds and other vegetation. Research is underway to explore what other types of animals could be used on solar sites.,https://www.cbc.ca/news/canada/calgary/bakx-agrivoltaics-alberta-sheep-pigs-1.7287853,https://i.cbc.ca/1.7287921.1723065466!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/solar-pigs-and-sheep.jpg,2024-08-12T08:00:00Z,"Under a blistering sun, Janna Grier hops out of her pickup truck to start moving hoses to fill up water troughs for her flock of sheep. One thousand of the shaggy, four-legged animals are spending th… [+5966 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,Albertans sought respite during record-hot July. Spike in electricity use suggests they found AC,"Alberta households have historically been slow to adopt air conditioners to cool their homes. But with four cities in the province hitting hottest-ever temperatures last month, that might be changing.",https://www.cbc.ca/news/canada/edmonton/alberta-hot-july-boosts-demand-for-air-conditioning-1.7281280,https://i.cbc.ca/1.7283163.1722553076!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/edmonton-heat-wave.jpg,2024-08-05T08:00:00Z,"Sweating through day after day of a heat wave that wouldn't break, many Albertans bit the bullet and sought out air conditioning.
""The calls were fast and furious,"" said Teseo Berardi, service manag… [+5600 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,"On the brink of a rail strike, some companies turn to trucking","On the eve of an unprecedented railway stoppage, some logistics firms are enlisting trucks to ship goods that otherwise would’ve been sent by rail.",https://www.cbc.ca/news/business/rail-strike-trucking-1.7300196,https://i.cbc.ca/1.6625505.1688070860!/fileImage/httpImage/image.jpeg_gen/derivatives/16x9_620/mullen-group.jpeg,2024-08-21T01:05:37Z,"On the possible eve of an unprecedented railway stoppage, some logistics firms are enlisting trucks to ship goods that otherwise would've been sent by rail though there are limits to how much this st… [+3980 chars]"
"{'id': 'espn', 'name': 'ESPN'}",,CFL reinstates Kelly on 'last-chance agreement',Chad Kelly returned to the Toronto Argonauts on Sunday after the quarterback was reinstated by the Canadian Football League.,https://www.espn.com/espn/story/_/id/40908254/cfl-reinstates-qb-chad-kelly-last-chance-agreement,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F0507%2Fr1329726_1024x576_16%2D9.jpg,2024-08-18T20:39:42Z,"VAUGHAN, Ontario -- Chad Kelly returned to the Toronto Argonauts on Sunday after the quarterback was reinstated by the Canadian Football League.
Kelly, who was the CFL's most outstanding player last… [+3483 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,Trial of ex-Canadian world junior hockey players in sexual assault case set for September 2025,"Five players accused of sexually assaulting a woman after a London, Ont., gala celebrating their 2018 world junior hockey win will stand trial beginning in September 2025.",https://www.cbc.ca/news/canada/london/trial-of-ex-canadian-world-junior-hockey-players-in-sexual-assault-case-set-for-september-2025-1.7293552,https://i.cbc.ca/1.7099884.1707358359!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/hockey-players-sexual-assault-charges.jpg,2024-08-13T20:02:19Z,"WARNING: This article references sexual assault and may affect those who have experienced sexual violence or know someone affected by it.
Five players accused of sexually assaulting a woman after a … [+1891 chars]"
"{'id': None, 'name': 'Just Jared'}",Just Jared,"'My Life with the Walter Boys' Season 2 Starts Production, Returning Cast Revealed","My Life with the Walter Boys is headed into production! Netflix revealed on Wednesday (August 14) that the drama series, based on the book of the same name by Ali Novak, has starting filming on the second season in Calgary, Canada. Here’s a season one synopsi…",https://www.justjared.com/2024/08/14/my-life-with-the-walter-boys-season-2-starts-production-returning-cast-revealed/,https://cdn01.justjared.com/wp-content/uploads/headlines/2024/08/walter-boys-two.jpg,2024-08-14T17:00:22Z,"My Life with the Walter Boys is headed into production!
Netflix revealed on Wednesday (August 14) that the drama series, based on the book of the same name by Ali Novak, has starting filming on the … [+1142 chars]"
"{'id': None, 'name': 'Just Jared'}",Just Jared,'Taste' Video Boyfriend Revealed: Meet Rohan Campbell & Find Out Where You Know Him From!,"Sabrina Carpenter released her new music video for “Taste” and she had two fellow actors at her side, one being Rohan Campbell. Rohan is a 26-year-old actor from Calgary, Canada and is best known for his roles in a Hulu series as well as a legendary horror fr…",https://www.justjared.com/2024/08/23/taste-video-boyfriend-revealed-meet-rohan-campbell-find-out-where-you-know-him-from/,https://cdn01.justjared.com/wp-content/uploads/headlines/2024/08/rohan-bloody-taste.jpg,2024-08-23T17:17:37Z,"Sabrina Carpenter released her new music video for “Taste” and she had two fellow actors at her side, one being Rohan Campbell.
Rohan is a 26-year-old actor from Calgary, Canada and is best known fo… [+1630 chars]"
"{'id': None, 'name': 'Consequence.net'}",Bryan Kress,How to Get Tickets to Bruce Springsteen and the E Street Band’s 2024 Tour,"Bruce Springsteen and the E Street Band are touring together again after six years. Learn how to get last-minute tickets here.
How to Get Tickets to Bruce Springsteen and the E Street Band’s 2024 Tour
Bryan Kress",https://consequence.net/2024/08/how-to-buy-bruce-springsteen-e-street-band-tickets-tour/,https://consequence.net/wp-content/uploads/2022/09/new-jersey-congressman-bruce-springsteen-ticketmaster-dynamic-pricing.jpg,2024-08-14T21:13:13Z,"At last, Bruce Springsteen and the E Street Band have resumed their world tour in 2024.
Springsteen was forced to cut short his 2023 tour due to a bout with peptic ulcer disease. However, he’s now h… [+3249 chars]"
"{'id': None, 'name': 'Paddle Your Own Kanoo'}",Paddle Your Own Kanoo,Canadian Airline Westjet Grounds 10% of its Fleet After 16 Aircraft Sustain ‘Significant’ Damage During Severe Hailstorm at Calgary Airport,Calgary-based Canadian airline Westjet says it has been forced to ground 10% of its entire aircraft fleet after 16 planes sustained ‘significant’ damage when a severe hailstorm struck Calgary Airport on Monday evening. The embattled carrier has warned passeng…,https://www.paddleyourownkanoo.com/2024/08/07/canadian-airline-westjet-grounds-10-of-its-fleet-after-16-aircraft-sustain-significant-damage-during-severe-hailstorm-at-calgary-airport/,https://www.paddleyourownkanoo.com/wp-content/uploads/2024/06/shutterstock_2255478023-scaled.jpg,2024-08-07T16:56:43Z,Calgary-based Canadian airline Westjet says it has been forced to ground 10% of its entire aircraft fleet after 16 planes sustained ‘significant’ damage when a severe hailstorm struck Calgary Airport… [+2331 chars]
"{'id': None, 'name': 'Just Jared'}",Just Jared,Gossip Girl's Jessica Szohr Marries Longtime Love Brad Richardson!,"Jessica Szohr is married! It was announced on Sunday (August 18) that the 39-year-old Gossip Girl alum married longtime love Brad Richardson earlier this month. Since then, Jessica has shared some photos from the big day on Instagram, including one shot all o…",https://www.justjared.com/2024/08/23/gossip-girls-jessica-szohr-marries-longtime-love-brad-richardson/,https://cdn01.justjared.com/wp-content/uploads/headlines/2024/08/szohr-brad.jpg,2024-08-23T16:29:20Z,"Jessica Szohr is married!
It was announced on Sunday (August 18) that the 39-year-old Gossip Girl alum married longtime love Brad Richardson earlier this month.
Since then, Jessica has shared some … [+713 chars]"
"{'id': None, 'name': 'Thebulkheadseat.com'}",The Bulkhead Seat,10% of WestJet’s Fleet Grounded After Hailstorm in Calgary,"Canadian airline WestJet saw 16 of its aircraft (10% of its fleet) grounded after…
The post 10% of WestJet’s Fleet Grounded After Hailstorm in Calgary appeared first on The Bulkhead Seat.",https://thebulkheadseat.com/10-of-westjets-fleet-grounded-after-hailstorm-in-calgary/,https://thebulkheadseat.com/wp-content/uploads/2023/06/WestJet-scaled.jpg,2024-08-07T23:23:14Z,8Advertiser &amp; Editorial Disclosure: The Bulkhead Seat earns an affiliate commission for anyone approved through the links below. This compensation may impact how and where links appear on this si… [+3007 chars]
"{'id': None, 'name': 'Phys.Org'}",Jessica Marsh,New study reveals new intricate behaviors of deep-sea currents,"A new study has revealed that changes in the ocean floor impact currents, giving new insight into the deep-sea pathways of nutrients and pollutants.",https://phys.org/news/2024-07-reveals-intricate-behaviors-deep-sea.html,https://scx2.b-cdn.net/gfx/news/hires/2024/new-study-reveals-new-1.jpg,2024-07-31T13:13:59Z,"A new study has revealed that changes in the ocean floor impact currents, giving new insight into the deep-sea pathways of nutrients and pollutants.
The study, published in Nature Geoscience by scie… [+4437 chars]"
"{'id': None, 'name': 'blogTO'}",Daily Hive,Edmonton named the best city for Toronto residents to 'rentvest',"If you're looking to break into the Toronto housing market but saving up enough for a down payment feels out of reach, it turns out there is a lucrative way to save enough to buy your first home: becoming a landlord.
Real estate platform Zoocasa suggests Tor…",https://www.blogto.com/real-estate-toronto/2024/08/edmonton-named-best-city-toronto-residents-rentvest/,https://media.blogto.com/articles/20240823-edmonton-rent-toronto.jpg?w=1200&cmd=resize_then_crop&height=630&quality=70,2024-08-23T17:08:08Z,"If you're looking to break into the Toronto housing market but saving up enough for a down payment feels out of reach, it turns out there is a lucrative way to save enough to buy your first home: bec… [+1939 chars]"
"{'id': None, 'name': 'Courrier International'}",Martin Gauthier,Les jeunes générations ont plus de risque de développer ces 17 cancers,"Selon une vaste étude comparative américaine, les personnes nées dans les années 1990 courent un risque plus élevé que les baby-boomers de développer certains cancers. Plus de la moitié des 17 cancers concernés sont liés au surpoids.",https://www.courrierinternational.com/article/sante-les-jeunes-generations-ont-plus-de-risque-de-developper-ces-17-cancers_221139,https://focus.courrierinternational.com/2024/08/05/0/0/3600/2400/1200/630/60/0/6132ed5_cancer-screening.jpg,2024-08-12T15:51:00Z,"Des chercheurs de la Société américaine du cancer, qui ont étudié 34 types de cancer sur un échantillon de 23 millions de patients américains nés entre 1920 et 1990, ont publié leurs conclusions dans… [+2092 chars]"
"{'id': None, 'name': 'Vintag.es'}",Unknown,Portraits of Alberta First Nations Taken by Harry Pollard From the Early 20th Century,First Nations in Alberta are a group of people who live in the Canadian province of Alberta. The First Nations are peoples (or nations) reco...,https://www.vintag.es/2024/08/alberta-first-nations-portraits.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjgb4y2S7FIXG8q79RYQ8KKeAepYLCtjfw8Btq3hMI6yJH9G5qX9AAjmAb8jEnide8bjJ_0-x6KuzboNsjfeQFSgiNzrYOJ0b5R-7RwtF6IkgrQFOUuvLwzC3Ybq1QueQAQRy7VdMU7djOK8yh99D9d7Orjl8GihaLqNIknCFmJ9IeLs4Ghyphenhyphennz-eA9ciBU/w1200-h630-p-k-no-nu/alberta-first-nations-portraits.jpg,2024-08-01T16:04:00Z,First Nations in Alberta are a group of people who live in the Canadian province of Alberta. The First Nations are peoples (or nations) recognized as Indigenous peoples or Plains Indians in Canada ex… [+2114 chars]
